Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-2448.186	-2626.425	178.239	1.182369	1.13828	0.6328025	9.161753
6	-2446.477	-2628.66	182.1825	1.231781	1.495147	0.2887553	7.208983
12	-2439.579	-2619.962	180.3824	1.180896	1.395415	0.3009299	8.223665
18	-2435.019	-2615.916	180.8967	1.070665	1.136882	0.5906055	7.84187
24	-2433.861	-2614.673	180.8121	0.9848815	1.400046	0.7180363	7.721978
30	-2444.947	-2632.982	188.0349	1.997979	1.728237	1.158991	2.734095
36	-2454.396	-2643.45	189.0549	1.843195	1.280881	0.7775354	2.64696
42	-2439.243	-2627.966	188.7228	1.843195	1.357576	1.108897	2.598429
48	-2432.081	-2619.639	187.5586	1.843195	1.524892	1.108897	3.22519
54	-2436.139	-2624.364	188.225	1.828966	1.712684	0.6964658	3.027458
60	-2426.464	-2614.948	188.4831	1.828966	1.347193	0.7996528	2.954821
66	-2436.552	-2625.502	188.9505	1.84912	1.511705	0.7996528	2.580628
72	-2438.533	-2627.318	188.785	1.944772	1.480402	0.9126004	2.559444
78	-2424.366	-2613.092	188.7269	1.944772	1.402424	1.027077	2.559444
84	-2427.169	-2616.349	189.1801	1.894445	1.931424	0.7458613	2.273431
90	-2428.957	-2617.915	188.9582	1.891448	1.868532	0.7458613	2.44057
96	-2436.619	-2624.778	188.1594	1.874472	1.999257	0.893039	2.790584
102	-2428.59	-2617.188	188.5975	1.629098	1.735803	0.7124955	2.901999
108	-2430.577	-2619.251	188.6735	1.898956	1.673722	0.8048959	2.646994
114	-2438.585	-2624.358	185.7734	1.429258	1.804729	0.8533069	4.529767
120	-2439.567	-2626.456	186.8889	1.365775	1.15705	0.6429983	4.358028
126	-2431.514	-2617.59	186.0762	1.349818	1.589239	0.4725639	4.778735
132	-2423.004	-2608.508	185.5043	1.281692	1.493173	0.5244774	5.125246
138	-2420.224	-2603.381	183.1571	1.267155	1.572645	0.4822243	6.425236
144	-2419.97	-2602.584	182.6139	1.221793	1.74768	0.3296297	6.837672
150	-2414.331	-2598.94	184.6095	1.221793	1.600738	0.425139	5.702747
156	-2417.928	-2602.538	184.6099	1.384198	1.600738	0.5516202	5.496278
162	-2431.966	-2618.465	186.4982	1.34028	1.889504	0.5007022	4.410242
168	-2438.55	-2622.85	184.2995	1.443393	1.914388	0.3958027	5.669814
174	-2431.446	-2615.437	183.9911	1.538992	1.347273	0.3980305	5.998756
180	-2429.202	-2613.307	184.105	1.522976	1.466148	0.4208264	5.871589
186	-2430.983	-2618.01	187.0279	1.623734	1.698009	0.3094143	4.228413
192	-2434.302	-2622.909	188.6064	1.549807	1.790757	0.4963069	3.111564
198	-2427.667	-2616.31	188.6429	1.549807	1.790757	0.4746572	3.111564
204	-2426.284	-2615.776	189.492	1.612443	1.318114	0.575664	2.667596
210	-2412.043	-2599.325	187.2813	1.593398	1.45607	0.3918836	4.100048
216	-2409.406	-2595.454	186.0488	1.537011	1.45607	0.3997537	4.817447
222	-2413.175	-2596.56	183.3853	1.330244	1.288384	0.4064077	6.458819
228	-2419.872	-2603.216	183.3443	1.204735	1.387739	0.3145685	6.608862
234	-2418.006	-2601.345	183.3385	1.345377	1.175604	0.3409242	6.599752
240	-2417.853	-2601.759	183.9054	1.304548	1.096075	0.5790086	6.124368
246	-2419.362	-2602.602	183.2398	1.240383	1.683493	0.5246239	6.315567
252	-2423.083	-2601.598	178.5155	1.035706	1.664493	0.3756054	9.102398
258	-2418.893	-2596.548	177.6548	1.150751	1.412368	0.3756054	9.59234
264	-2427.197	-2603.489	176.2919	1.181098	1.367675	0.7698444	9.993331
270	-2419.887	-2605.848	185.9608	1.380986	2.086011	0.3794718	4.747323
276	-2427.127	-2614.318	187.1907	1.495384	2.086011	0.3794718	3.988051
282	-2429.227	-2617.843	188.6166	1.576546	2.086011	0.3794718	3.110159
288	-2430.072	-2614.011	183.9389	1.232289	1.751652	0.4467646	5.986546
294	-2423.497	-2605.793	182.2953	1.113481	1.793763	0.2693439	7.127436
300	-2420.389	-2602.879	182.4901	1.113481	2.342947	0.2907396	6.824784
306	-2417.763	-2599.543	181.7797	1.155506	1.869898	0.4547461	7.148675
312	-2417.89	-2600.829	182.9394	1.155506	1.734959	0.4547461	6.569534
318	-2419.048	-2602.287	183.2396	1.044665	1.584553	0.4071795	6.569534
324	-2409.398	-2591.375	181.9769	1.049615	1.584553	0.5234108	7.138617
330	-2409.497	-2589.003	179.5057	1.074753	1.486273	0.4920177	8.510684
336	-2404.377	-2587.117	182.7398	1.071416	1.851505	0.4228378	6.713854
342	-2395.583	-2577.992	182.4088	1.208472	1.400222	0.3270816	7.091112
348	-2412.436	-2595.293	182.8569	1.277694	1.351607	0.3614603	6.793469
354	-2414.609	-2596.991	182.3818	1.114158	1.351607	0.4411878	7.054858
360	-2416.103	-2597.961	181.8572	1.030085	1.902592	0.3338271	7.290539
366	-2418.357	-2599.949	181.5918	1.093006	1.72044	0.4293942	7.358917
372	-2413.629	-2596.799	183.1697	1.229493	1.578374	0.2989876	6.632789
378	-2422.554	-2603.669	181.1146	1.125602	1.857661	0.4067444	7.572803
384	-2425.027	-2606.283	181.2557	1.108585	1.48486	0.3177308	7.73978
390	-2422.664	-2604.603	181.9386	1.215919	1.351855	0.7620484	6.984444
396	-2422.393	-2608.433	186.0402	1.429389	1.952449	0.392478	4.705003
402	-2427.766	-2610.922	183.1562	1.589942	2.058114	0.2752087	6.310675
408	-2433.158	-2620.339	187.1809	1.514623	1.763647	0.3214467	4.163602
414	-2419.644	-2604.919	185.2753	1.367751	1.533825	0.4015544	5.306878
420	-2417.678	-2605.356	187.678	1.471297	1.560149	0.4036294	3.886593
426	-2409.231	-2596.576	187.3459	1.41951	1.757603	0.3088851	4.142244
432	-2422.35	-2609.511	187.1614	1.463428	1.651861	0.5690612	3.989784
438	-2424.069	-2610.758	186.689	1.589034	1.881688	0.5816391	4.092063
444	-2419.75	-2605.494	185.7443	1.359767	1.741319	0.2691374	5.13287
450	-2426.962	-2612.59	185.6271	1.38059	1.623088	0.2811585	5.213791
456	-2420.334	-2605.914	185.58	1.424545	1.542444	0.253831	5.284808
462	-2420.412	-2602.042	181.63	1.134325	1.542444	0.4239772	7.387372
468	-2408.635	-2591.877	183.242	1.134325	1.75665	0.3816639	6.4836
474	-2406.997	-2590.275	183.2783	1.130479	1.75665	0.3655565	6.4836
480	-2406.04	-2591.614	185.574	1.365551	1.404092	0.3773968	5.22276
486	-2424.945	-2608.896	183.951	1.271877	1.583623	0.3265607	6.150033
492	-2435.205	-2615.835	180.6297	1.246678	1.633229	0.4849052	7.770877
498	-2439.686	-2619.901	180.2147	1.148366	1.560444	0.4849052	8.071996
504	-2431.43	-2615.82	184.3906	1.1618	1.987304	0.4233136	5.721754
510	-2424.921	-2612.329	187.4073	1.435764	1.416539	0.3726881	4.156796
516	-2432.09	-2613.712	181.6222	1.285671	1.416539	0.3726881	7.413691
522	-2421.196	-2606.17	184.9736	1.22376	1.605053	0.5116677	5.41755
528	-2418.818	-2605.191	186.3727	1.594648	1.605053	0.4711862	4.470377
534	-2422.69	-2606.772	184.0816	1.334427	1.853595	0.4641756	5.800553
540	-2427.076	-2611.997	184.9205	1.332231	1.533321	0.5241148	5.404019
546	-2429.717	-2618.254	188.5372	1.516758	1.337707	0.7157713	3.175174
552	-2426.672	-2613.264	186.5925	1.546585	1.451856	0.7509076	4.206821
558	-2424.651	-2610.258	185.6067	1.564789	1.52223	0.6091361	4.827867
564	-2427.895	-2614.106	186.211	1.567313	1.422417	0.7397182	4.431356
570	-2437.644	-2624.971	187.3272	1.448932	1.338014	0.3777466	4.223979
576	-2432.457	-2619.564	187.107	1.412945	1.613323	0.4038368	4.223979
582	-2424.752	-2609.774	185.0222	1.26846	1.538598	0.4550412	5.444947
588	-2424.8	-2608.929	184.1292	1.188065	1.538598	0.4550412	5.97834
594	-2430.848	-2617.255	186.4078	1.463421	1.347312	0.7324769	4.417167
600	-2424.286	-2608.822	184.5358	1.452611	1.612333	0.4993645	5.540851
606	-2424.747	-2610.514	185.7677	1.371111	1.442553	0.5757851	4.906243
612	-2424.03	-2607.394	183.3642	1.116347	2.197144	0.2961853	6.385275
618	-2426.496	-2610.219	183.7228	1.089102	1.766806	0.2648171	6.385275
624	-2419.034	-2603.129	184.0942	1.144462	1.806825	0.3496408	6.033051
630	-2420.84	-2601.558	180.7179	1.224592	1.802845	0.2139396	7.988814
636	-2426.522	-2610.975	184.4528	1.305281	1.882214	0.3033969	5.779375
642	-2423.359	-2609.666	186.3074	1.323557	1.683709	0.4428037	4.657111
648	-2408.386	-2592.076	183.6901	1.220667	1.776883	0.3644645	6.20524
654	-2408.631	-2594.492	185.861	1.428227	2.552776	0.2230211	4.845505
660	-2405.996	-2592.324	186.3283	1.43226	2.364556	0.2344845	4.616711
666	-2413.61	-2600.37	186.7604	1.456044	1.84469	0.2344845	4.525813
672	-2448.939	-2628.365	179.4259	0.9644096	1.566231	0.5912865	8.498345
678	-2462.063	-2640.889	178.8263	1.04646	1.566231	0.4137855	8.928897
684	-2419.6	-2608.3	188.7001	1.603391	2.279098	0.3449853	3.023527
690	-2411.594	-2598.621	187.0264	1.454336	1.584792	0.4358303	4.223697
696	-2416.328	-2602.412	186.0844	1.320526	1.724431	0.390984	4.822638
702	-2422.142	-2606.679	184.5372	1.286848	1.617	0.251059	5.908098
708	-2420.703	-2605.173	184.4694	1.286848	1.657266	0.2667485	5.908098
714	-2415.823	-2595.939	180.1166	1.063562	2.568013	0.2817727	8.075239
720	-2420.605	-2603.144	182.5384	1.213092	2.060882	0.323177	6.787606
726	-2425.418	-2608.802	183.3847	1.160553	2.15734	0.3248802	6.32652
732	-2432.883	-2614.209	181.326	1.082072	1.373039	0.5483803	7.533718
738	-2431.935	-2616.669	184.7336	1.233791	1.665183	0.5137226	5.519546
744	-2423.411	-2603.445	180.0343	0.8528689	2.207323	0.4068997	8.186702
750	-2413.24	-2592.171	178.9309	0.9224604	2.087675	0.4068997	8.771273
756	-2420.155	-2599.283	179.1283	0.9075557	1.799265	0.4020882	8.771273
762	-2427.673	-2612.435	184.7621	1.429124	2.002787	0.6711675	5.151024
768	-2431.082	-2616.92	185.8381	1.426563	1.811957	0.736157	4.570488
774	-2423.523	-2608.535	185.0119	1.426563	1.441564	0.4189584	5.439078
780	-2430.312	-2613.226	182.9144	1.476787	1.264157	0.5043625	6.551613
786	-2421.736	-2605.667	183.9316	1.334325	1.643979	0.3945383	6.027159
792	-2420.515	-2601.01	180.4953	0.9671155	1.747811	0.4942784	7.942573
798	-2422.523	-2600.406	177.8824	0.8846085	1.721118	0.4335923	9.438188
804	-2424.051	-2607.957	183.906	1.276193	1.522853	0.4649324	6.048776
810	-2431.616	-2615.231	183.6154	1.359768	1.518457	0.4540417	6.173674
816	-2421.264	-2604.459	183.1951	1.557169	1.426078	0.466301	6.320528
822	-2421.98	-2598.422	176.4418	1.136912	1.78149	0.5237171	9.96277
828	-2418.282	-2598.538	180.2568	1.149745	1.641712	0.4503003	8.050524
834	-2415.351	-2598.138	182.7869	1.149745	1.711138	0.4503003	6.667861
840	-2416.878	-2601.028	184.1509	1.310926	2.34925	0.2257357	5.905128
846	-2432.729	-2618.552	185.8228	1.57589	1.525789	0.2942412	5.017895
852	-2430.683	-2619.468	188.7848	1.786165	1.578991	0.3340813	3.132032
858	-2436.342	-2624.618	188.2757	1.705039	2.226	0.2872369	3.30938
864	-2435.544	-2619.351	183.8071	1.418081	1.466763	0.4864293	6.027779
